date;Parc;Usage;Revenu
13/11/2021;5721;11545,33;530,32
14/11/2021;5315;10721,87;492,22
15/11/2021;5781;11665,97;578,01
16/11/2021;5555;11208,45;534,06
17/11/2021;5622;11344,71;554,77
18/11/2021;5793;11691,12;559,41
19/11/2021;5783;11670,87;559,09
20/11/2021;5885;11876,76;561,57
21/11/2021;5161;10410,45;486,81
22/11/2021;5232;10552,68;545,92
23/11/2021;5720;11541,5;556,63
24/11/2021;5639;11377,73;540,93
25/11/2021;5515;11127,18;538,11
26/11/2021;5952;12011,75;554,93
27/11/2021;5880;11866,72;533,6
28/11/2021;5517;11131,35;484,44
29/11/2021;5915;11938,27;573,39
30/11/2021;5995;12098,51;575,3
01/12/2021;5853;11812,32;547,78
02/12/2021;5889;11885,02;572,84
03/12/2021;5791;11685,51;567,78
04/12/2021;5779;11661,1;562,04
05/12/2021;5560;11219,11;520,75
06/12/2021;6045;12201,62;615,23
07/12/2021;5973;12054,72;581,68
08/12/2021;5914;11935,27;566,65
09/12/2021;5511;11118,82;523,43
10/12/2021;5999;12106,79;590,29
11/12/2021;5919;11944,75;559,79
12/12/2021;5348;10788,79;496,2
13/12/2021;5810;11725,21;590,66
14/12/2021;5941;11989,43;579,04
15/12/2021;5734;11571,23;561,52
16/12/2021;5572;11241,68;547,57
17/12/2021;5915;11937,64;582,57
18/12/2021;6049;12208,15;590,65
19/12/2021;5491;11077,92;506,51
20/12/2021;5721;11544,15;565,15
21/12/2021;5864;11833,87;588,91
22/12/2021;6074;12259,45;599,77
23/12/2021;6088;12288,16;606,16
24/12/2021;6507;13136,41;654,17
25/12/2021;6648;13422,65;614,12
26/12/2021;5311;10712,88;516,88
27/12/2021;5909;11925,99;605,85
28/12/2021;6090;12292,37;625,11
29/12/2021;6403;12926,82;639,17
30/12/2021;6604;13332,5;677,6
31/12/2021;6535;13192,93;756,92
01/01/2022;6667;15285,41;675,28
02/01/2022;6648;10420,98;499,35
03/01/2022;6614;11241,81;576,49
04/01/2022;6631;10964,46;542
05/01/2022;6615;11678,1;592,25
06/01/2022;6617;11641,98;595,53
07/01/2022;6615;11698,34;585,26
08/01/2022;6620;11989,65;582,85
09/01/2022;6596;10432,48;511,78
10/01/2022;6609;12094,93;612,37
11/01/2022;6634;12450,65;593,35
12/01/2022;6659;11969,08;568,8
13/01/2022;6657;11481,33;552,39
14/01/2022;6677;11857,61;569,17
15/01/2022;6683;11496,96;548,42
16/01/2022;6674;10443,99;490,32
17/01/2022;6673;11295,23;548,13
18/01/2022;6673;11544,95;556,63
19/01/2022;6689;11473,54;562,97
20/01/2022;6719;12122,39;564,92
21/01/2022;6712;11727,01;556,47
22/01/2022;6699;11496,09;566,57
23/01/2022;6675;10607,42;489,88
24/01/2022;6620;11626,34;576,89
25/01/2022;6622;11581,58;557,34
26/01/2022;6622;11326,54;557,98
27/01/2022;6593;11636,27;565,2
28/01/2022;6653;11879,82;576,7
29/01/2022;6628;11914,76;581,21
30/01/2022;6593;10810,33;506,59
31/01/2022;6559;11614,41;582,11
01/02/2022;6558;11799,5;590,94
02/02/2022;6557;11935,45;585,28
