date;parc;usage;revenu
14/07/2023;7466499;11065836,35;496788,1224
15/07/2023;7466094;11249659,55;503900,962
16/07/2023;7471560;10337853,84;433945,8196
17/07/2023;7486262;10763336,43;441567,4173
18/07/2023;7486793;10322071,3;450584,6604
19/07/2023;7467189;10544850,53;483989,8915
20/07/2023;7437356;10454602,76;478796,8242
21/07/2023;7434105;10700071,67;476892,7973
22/07/2023;7421029;10650095,74;480362,3258
23/07/2023;7408228;9890673,474;420591,7038
24/07/2023;7432757;10876575,73;488878,5369
25/07/2023;7456402;10837904,15;478326,7642
26/07/2023;7460558;10728603,86;474776,8746
27/07/2023;7465987;10846902,64;477408,4654
28/07/2023;7464474;10833281,65;479909,0231
29/07/2023;7382956;10665177,01;485365,6988
30/07/2023;7395844;9996567,098;421892,6838
31/07/2023;7390743;10975322,91;510075,4396
01/08/2023;7380059;10592194,97;468018,7531
02/08/2023;7370201;10721518,52;485846,2488
03/08/2023;7351579;10690131,12;483899,7377
04/08/2023;7339335;10762695,56;520425,3096
05/08/2023;7331202;10715981,61;512115,9996
06/08/2023;7317217;9863901,238;437498,3358
07/08/2023;7304811;10879519,86;527802,575
08/08/2023;7280122;10680196,89;511917,9212
09/08/2023;7263818;10917626,34;507913,6115
10/08/2023;7244834;11174247,97;512456,3873
11/08/2023;7224879;11181743,05;513107,1988
12/08/2023;7203355;11003752,86;504986,8692
13/08/2023;7170883;10159083,48;441473,1723
14/08/2023;7165221;11180867,09;527548,11
15/08/2023;6859707;11265609,22;504924,0612
16/08/2023;7040183;11182343,03;507299,1065
17/08/2023;6875881;11135147,49;502380,8904
18/08/2023;6878300;10939282,13;485548,5404
19/08/2023;6897285;8955820,547;313269,3752
20/08/2023;6897327;8354274,655;391978,3823
21/08/2023;6901017;10542742,28;485639,7412
22/08/2023;6904398;10373408,32;436278,6992
23/08/2023;7099820;9477338,548;422980,9315
24/08/2023;7088612;9679158,776;431068,7058
25/08/2023;7081213;9936891,418;442887,2169
26/08/2023;7064889;9751505,999;438070,7296
27/08/2023;7033770;9050897,172;384980,2923
28/08/2023;6995668;9823880,401;451566,8431
29/08/2023;6989432;10145027,88;458839,4462
30/08/2023;6971985;10491227,19;464644,9877
31/08/2023;6905293;10743834,47;487052,8954
01/09/2023;6983002;10235938,95;455949,1115
